              x	              y	              z	           time	in	        Ca(mol/kgw)	        Cl(mol/kgw)	         K(mol/kgw)	         N(mol/kgw)	        Na(mol/kgw)
0.08	0	0	720	1	1.76E-22	3.06E-19	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	1440	1	5.37E-22	1.34E-17	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	2160	1	1.05E-21	2.89E-16	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	2880	1	1.90E-21	4.07E-15	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	3600	1	3.30E-21	4.24E-14	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	4320	1	5.73E-21	3.47E-13	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	5040	1	9.60E-21	2.32E-12	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	5760	1	1.61E-20	1.32E-11	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	6480	1	2.68E-20	6.41E-11	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	7200	1	4.39E-20	2.74E-10	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	7920	1	7.27E-20	1.04E-09	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	8640	1	1.17E-19	3.53E-09	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	9360	1	1.93E-19	1.09E-08	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	10080	1	3.11E-19	3.06E-08	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	10800	1	5.08E-19	7.90E-08	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	11520	1	8.18E-19	1.89E-07	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	12240	1	1.32E-18	4.21E-07	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	12960	1	2.13E-18	8.76E-07	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	13680	1	3.43E-18	1.72E-06	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	14400	1	5.54E-18	3.17E-06	2.00E-04	1.20E-03	1.00E-03
0.08	0	0	15120	1	8.84E-18	5.57E-06	2.00E-04	1.19E-03	1.00E-03
0.08	0	0	15840	1	1.43E-17	9.32E-06	2.00E-04	1.19E-03	1.00E-03
0.08	0	0	16560	1	2.28E-17	1.49E-05	2.00E-04	1.19E-03	1.00E-03
0.08	0	0	17280	1	3.68E-17	2.29E-05	2.00E-04	1.18E-03	1.00E-03
0.08	0	0	18000	1	5.85E-17	3.38E-05	2.00E-04	1.17E-03	1.00E-03
0.08	0	0	18720	1	9.43E-17	4.83E-05	2.00E-04	1.15E-03	1.00E-03
0.08	0	0	19440	1	1.50E-16	6.68E-05	2.00E-04	1.13E-03	1.00E-03
0.08	0	0	20160	1	2.41E-16	8.98E-05	2.00E-04	1.11E-03	1.00E-03
0.08	0	0	20880	1	3.84E-16	1.17E-04	2.00E-04	1.08E-03	1.00E-03
0.08	0	0	21600	1	6.16E-16	1.50E-04	2.00E-04	1.05E-03	1.00E-03
0.08	0	0	22320	1	9.83E-16	1.87E-04	2.00E-04	1.01E-03	1.00E-03
0.08	0	0	23040	1	1.57E-15	2.28E-04	2.00E-04	9.72E-04	1.00E-03
0.08	0	0	23760	1	2.51E-15	2.74E-04	2.00E-04	9.26E-04	1.00E-03
0.08	0	0	24480	1	4.01E-15	3.22E-04	2.00E-04	8.78E-04	1.00E-03
0.08	0	0	25200	1	6.42E-15	3.73E-04	2.00E-04	8.27E-04	1.00E-03
0.08	0	0	25920	1	1.02E-14	4.26E-04	2.00E-04	7.74E-04	1.00E-03
0.08	0	0	26640	1	1.64E-14	4.80E-04	2.01E-04	7.20E-04	9.99E-04
0.08	0	0	27360	1	2.60E-14	5.34E-04	2.01E-04	6.66E-04	9.99E-04
0.08	0	0	28080	1	4.18E-14	5.88E-04	2.01E-04	6.12E-04	9.99E-04
